file,number of tracts,mean length(mm),span(mm),curl,elongation,diameter(mm),volume(mm^3),trunk volume(mm^3),branch volume(mm^3),total surface area(mm^2),total radius of end regions(mm),total area of end regions(mm^2),irregularity,area of end region 1(mm^2),radius of end region 1(mm),irregularity of end region 1,area of end region 2(mm^2),radius of end region 2(mm),irregularity of end region 2,qa,nqa,gfa,iso
sub-1043f_ses-1_DSI_mc,133,65.5489,19.645,3.33667,7.44758,8.80136,3988,504,3484,14037,29.1347,196,7.74478,105,15.4058,7.10116,91,13.7289,6.50695,0.102612,0.300718,0.12435,0.159379
sub-4936m_ses-5_DSI_mc,67,67.2388,16.6666,4.03433,9.974,6.74141,2400,446,1954,8102,19.9847,107,5.68947,52,10.3572,6.48079,55,9.62752,5.2944,0.139993,0.349544,0.132651,0.197588
sub-2755j_ses-8_DSI_mc,75,67.3467,16.9375,3.97619,9.58552,7.02588,2611,455,2156,9678,23.131,124,6.51057,56,10.515,6.20266,68,12.616,7.35339,0.116879,0.356973,0.131234,0.169111
sub-2755j_ses-4_DSI_mc,68,68.3529,18.2694,3.74138,10.6078,6.44364,2229,455,1774,8444,19.8611,119,6.10253,56,9.46727,5.02819,63,10.3938,5.38714,0.118108,0.332664,0.126308,0.175962
sub-2755j_ses-6_DSI_mc,89,68.5843,18.8756,3.63348,9.59876,7.14511,2750,366,2384,10664,22.4887,135,6.92686,58,10.1429,5.57249,77,12.3458,6.21863,0.112445,0.367651,0.130662,0.163083
sub-1043f_ses-8_DSI_mc,106,68.8679,16.0304,4.29608,8.46386,8.13671,3581,827,2754,12001,26.9593,175,6.81713,78,13.1751,6.99136,97,13.7842,6.15377,0.10522,0.286304,0.119464,0.165294
sub-4936m_ses-2_DSI_mc,60,69,18.4432,3.74122,11.1375,6.1953,2080,1128,952,6444,11.5558,90,4.79838,46,6.98935,3.33631,44,4.56647,1.48888,0.140386,0.335358,0.129036,0.198842
sub-4936m_ses-8_DSI_mc,48,69.2292,19.0217,3.63949,11.8365,5.8488,1860,585,1275,6461,12.2969,78,5.07918,44,6.99752,3.49611,34,5.29936,2.59488,0.124011,0.311986,0.135351,0.169677
sub-1043f_ses-3_DSI_mc,77,70.0649,16.3903,4.27479,9.77883,7.16496,2825,742,2083,11560,30.1225,124,7.32982,59,14.3016,10.891,65,15.8208,12.0975,0.104177,0.310334,0.121881,0.165088
sub-2755j_ses-5_DSI_mc,91,70.5495,17.129,4.11872,9.54665,7.38997,3026,568,2458,11499,22.372,142,7.02059,65,9.94886,4.78391,77,12.4231,6.2968,0.114994,0.354881,0.127083,0.169426
sub-4936m_ses-6_DSI_mc,47,70.5532,18.3283,3.84942,12.9372,5.4535,1648,1260,388,5486,12.4522,72,4.53852,38,6.53753,3.5334,34,5.91468,3.23246,0.119015,0.33899,0.132967,0.166276
sub-4936m_ses-7_DSI_mc,50,70.6,19.1928,3.67846,12.7543,5.53541,1699,1201,498,5119,7.33165,77,4.16947,41,4.49475,1.54802,36,2.8369,0.702318,0.129409,0.299254,0.136589,0.174551
sub-2755j_ses-2_DSI_mc,64,71.2344,19.2279,3.70474,10.9034,6.53322,2388,342,2046,9613,19.5895,106,6.57494,49,7.59637,3.69969,57,11.9932,7.9276,0.10981,0.34214,0.126388,0.165548
sub-2755j_ses-7_DSI_mc,67,71.5672,19.9234,3.59211,11.1783,6.40235,2304,288,2016,8897,24.1278,107,6.18074,45,9.64231,6.49082,62,14.4855,10.6323,0.123156,0.369169,0.136009,0.170533
sub-1665h_ses-1_DSI_mc,152,71.7368,17.012,4.21685,7.91349,9.06514,4630,160,4470,14583,25.8292,243,7.13806,109,12.1439,4.25049,134,13.6853,4.39092,0.100939,0.291887,0.111793,0.17752
